time,setpoint,sensor,sinyal kendali
2024-08-25 17:56:15.994653,36.0,25.4,100
2024-08-25 17:56:16.194817,36.0,25.4,100
2024-08-25 17:56:16.424607,36.0,25.4,100
2024-08-25 17:56:16.630168,36.0,25.4,100
2024-08-25 17:56:16.855538,36.0,25.4,100
2024-08-25 17:56:17.057442,36.0,25.48,100
2024-08-25 17:56:17.258859,36.0,25.51,100
2024-08-25 17:56:17.460496,36.0,25.52,100
2024-08-25 17:56:17.659942,36.0,25.52,100
2024-08-25 17:56:17.888065,36.0,25.52,100
2024-08-25 17:56:18.093077,36.0,25.53,100
2024-08-25 17:56:18.295894,36.0,25.52,100
2024-08-25 17:56:18.521340,36.0,25.53,100
2024-08-25 17:56:18.724674,36.0,25.63,100
2024-08-25 17:56:18.932919,36.0,25.54,100
2024-08-25 17:56:19.129864,36.0,25.63,100
2024-08-25 17:56:19.355609,36.0,25.62,100
2024-08-25 17:56:19.558427,36.0,25.69,100
2024-08-25 17:56:19.759681,36.0,25.63,100
2024-08-25 17:56:19.992200,36.0,25.64,100
2024-08-25 17:56:20.194502,36.0,25.64,100
2024-08-25 17:56:20.391162,36.0,25.68,100
2024-08-25 17:56:20.620890,36.0,25.73,100
2024-08-25 17:56:20.821922,36.0,25.75,100
2024-08-25 17:56:21.021711,36.0,25.75,100
2024-08-25 17:56:21.225977,36.0,25.75,100
2024-08-25 17:56:21.430179,36.0,25.75,100
2024-08-25 17:56:21.654692,36.0,25.81,100
2024-08-25 17:56:21.857045,36.0,25.82,100
2024-08-25 17:56:22.061036,36.0,25.8,100
2024-08-25 17:56:22.260338,36.0,25.79,100
2024-08-25 17:56:22.486397,36.0,25.86,100
2024-08-25 17:56:22.687124,36.0,25.86,100
2024-08-25 17:56:22.892309,36.0,25.86,100
2024-08-25 17:56:23.092054,36.0,25.86,100
2024-08-25 17:56:23.318820,36.0,25.88,100
2024-08-25 17:56:23.523096,36.0,25.97,100
2024-08-25 17:56:23.724969,36.0,25.92,100
2024-08-25 17:56:23.949585,36.0,25.98,100
2024-08-25 17:56:24.157325,36.0,25.98,100
2024-08-25 17:56:24.387704,36.0,25.98,100
2024-08-25 17:56:24.590698,36.0,25.98,100
2024-08-25 17:56:24.792361,36.0,26.01,100
2024-08-25 17:56:24.994250,36.0,26.04,100
2024-08-25 17:56:25.193655,36.0,26.02,100
2024-08-25 17:56:25.415556,36.0,25.99,100
2024-08-25 17:56:25.618192,36.0,26.09,100
2024-08-25 17:56:25.821545,36.0,26.1,100
2024-08-25 17:56:26.051070,36.0,26.1,100
2024-08-25 17:56:26.253983,36.0,26.04,100
2024-08-25 17:56:26.454361,36.0,26.1,100
2024-08-25 17:56:26.657474,36.0,26.12,100
2024-08-25 17:56:26.861379,36.0,26.16,100
2024-08-25 17:56:27.084430,36.0,26.13,100
2024-08-25 17:56:27.289579,36.0,26.12,100
2024-08-25 17:56:27.515250,36.0,26.21,100
2024-08-25 17:56:27.717520,36.0,26.21,100
2024-08-25 17:56:27.918909,36.0,26.21,100
